num,index,date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio,close_ma5,volume_ma5,close_ma5_ratio,volume_ma5_ratio,close_ma10,volume_ma10,close_ma10_ratio,volume_ma10_ratio,close_ma20,volume_ma20,close_ma20_ratio,volume_ma20_ratio,close_ma60,volume_ma60,close_ma60_ratio,volume_ma60_ratio,close_ma120,volume_ma120,close_ma120_ratio,volume_ma120_ratio,open_lastclose_ratio,high_close_ratio,low_close_ratio,close_lastclose_ratio,volume_lastvolume_ratio
61,61,20160404,25580,26100,25580,26100,9402300,9.35,1.25,14.08,1.009039607,1.012460711,1.035668403,1.033520917,1.000045276,1.001875568,1.002064194,1.004452384,25976,12818760,0.004773637,-0.266520319,25812,10828125,0.011157601,-0.131677922,25333,10765357.5,0.030276714,-0.126615164,23967.33333,10878756.67,0.088982226,-0.135719247,,,,,0,0,-0.019923372,0.020328382,-0.30650253
62,62,20160405,25980,25980,25200,25200,11815950,9.35,1.25,14.08,1.004510713,1.009034477,1.033550673,1.031358712,0.999827959,1.001576017,1.001783499,1.00423433,25856,13457410,-0.025371287,-0.121974436,25794,10995360,-0.023028611,0.074630571,25401,10815650,-0.007913074,0.092486351,23995.66667,10770062.5,0.050189618,0.097110625,,,,,-0.004597701,0.030952381,0,-0.034482759,0.256708465
63,63,20160406,25380,25820,25360,25700,9211700,9.35,1.25,14.08,1.001260933,1.005562995,1.030702968,1.028615255,1.000126753,1.001886502,1.002091754,1.004600192,25764,12623700,-0.002484086,-0.270285257,25806,10929440,-0.004107572,-0.157166332,25492,10817785,0.008159423,-0.148467085,24036.33333,10688267.5,0.069214661,-0.138148442,,,,,0.007142857,0.004669261,-0.013229572,0.01984127,-0.220401237
64,64,20160407,26000,26000,25160,25380,12939750,9.35,1.25,14.08,1.003200431,1.009357622,1.034933507,1.032899575,0.999918514,1.001514423,1.001758944,1.004331353,25592,11385500,-0.008283839,0.136511352,25780,11129440,-0.015515904,0.162659577,25536,10755922.5,-0.006109023,0.203034886,24069,10689127.5,0.054468403,0.210552498,,,,,0.011673152,0.024428684,-0.008668243,-0.012451362,0.404708143
65,65,20160408,25380,25380,24800,24920,12593400,9.35,1.25,14.08,1.001309955,1.008735046,1.034322322,1.032495836,1.000027164,1.001382687,1.001706621,1.004329634,25460,11192620,-0.021209741,0.125152109,25696,11671550,-0.030199253,0.078982654,25533,10717530,-0.024008146,0.175028201,24100.33333,10697953.33,0.034010595,0.177178438,,,,,0,0.018459069,-0.004815409,-0.018124507,-0.026766359
66,66,20160411,24920,25420,24920,25320,6034650,9.35,1.25,14.08,0.996571733,1.00267449,1.027702091,1.026223241,1.000018109,1.001171637,1.001608965,1.00429729,25304,10519090,0.000632311,-0.426314444,25640,11668925,-0.012480499,-0.482844392,25544,10476377.5,-0.008769183,-0.423975511,24140.33333,10626628.33,0.048867041,-0.432119972,,,,,0,0.003949447,-0.015797788,0.016051364,-0.520808519
67,67,20160412,25400,25620,25320,25500,6702700,9.35,1.25,14.08,0.997850195,1.00330312,1.028166037,1.026726313,0.999936621,1.000974328,1.001470528,1.004222527,25364,9496440,0.00536193,-0.294188138,25610,11476925,-0.004295197,-0.415984682,25566,10379492.5,-0.002581554,-0.35423625,24182.66667,10618910,0.054474279,-0.368795856,,,,,0.003159558,0.004705882,-0.007058824,0.007109005,0.110702361
68,68,20160414,26000,26040,25780,26000,16766350,9.35,1.25,14.08,0.997982197,1.003261126,1.027861673,1.026566209,0.999293625,0.999975079,1.000528169,1.003328288,25424,11007370,0.022655758,0.523193097,25594,11815535,0.015863093,0.419008957,25610,10850670,0.015228426,0.545190297,24236.66667,10724164.17,0.072754779,0.563417879,,,,,0.019607843,0.001538462,-0.008461538,0.019607843,1.501432259
69,69,20160415,26180,26200,25800,26000,6829950,9.35,1.25,14.08,1.001583828,1.006143564,1.030685055,1.029767168,0.999501834,0.9999411,1.000488836,1.003346382,25548,9785410,0.017692187,-0.302027202,25570,10585455,0.016816582,-0.354779743,25647,10574995,0.013763793,-0.354141539,24292.66667,10663443.33,0.070281841,-0.359498636,,,,,0.006923077,0.007692308,-0.007692308,0,-0.592639424
70,70,20160418,25900,26100,25840,25980,6423700,9.35,1.25,14.08,1.001688383,1.005715344,1.02997239,1.029240473,0.999673872,0.999886737,1.000395111,1.003314833,25760,8551470,0.008540373,-0.248819209,25610,9872045,0.014447481,-0.34930402,25673,10332895,0.011958088,-0.378325242,24350.33333,10503660,0.066925846,-0.388432223,,,,,-0.003846154,0.004618938,-0.005388761,-0.000769231,-0.05948067
71,71,20160419,25880,25920,25660,25760,7238300,9.35,1.25,14.08,1.00830288,1.014206066,1.03883951,1.038299821,0.999628492,0.999560563,1.000038526,1.003010912,25848,8792200,-0.003404519,-0.176736198,25576,9655645,0.007194245,-0.250355621,25694,10241885,0.002568693,-0.293264863,24389.33333,10451596.67,0.056199431,-0.307445529,,,,,-0.003849115,0.00621118,-0.003881988,-0.008468052,0.126811651
72,72,20160420,25640,26000,25640,25980,8598600,9.35,1.25,14.08,1.003838282,1.010965365,1.035373947,1.035378286,1.000715833,1.000554908,1.001040863,1.004063895,25944,9171380,0.001387604,-0.062452979,25654,9333910,0.01270757,-0.078778347,25724,10164635,0.009951796,-0.154067018,24443,10455696.67,0.062880988,-0.177615775,,,,,-0.004658385,0.000769823,-0.01308699,0.008540373,0.187930868
73,73,20160421,26000,26020,25760,25880,7254450,9.35,1.25,14.08,1.004001002,1.012613276,1.037062795,1.037842721,1.00057981,1.000480107,1.001000744,1.004070556,25920,7269000,-0.00154321,-0.002001651,25672,9138185,0.008102213,-0.206138856,25739,10033812.5,0.005478068,-0.276999645,24497.33333,10417977.5,0.056441517,-0.303660427,,,,,0.000769823,0.005409583,-0.004636785,-0.003849115,-0.156321959
74,74,20160422,25880,25880,25540,25600,5741500,9.35,1.25,14.08,1.003912539,1.013449211,1.038355352,1.039769186,1.00087852,1.000962377,1.001498336,1.004623425,25840,7051310,-0.009287926,-0.185754136,25694,8418360,-0.003658442,-0.317978799,25737,9773900,-0.005323076,-0.412568166,24534.66667,10390729.17,0.043421553,-0.447440126,,,,,0,0.0109375,-0.00234375,-0.010819165,-0.208554749
